belongs_to_collection,budget,genres,original_title,month,runtime,vote_average,revenue
,30000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",9,8,79,6.6,48428063
,35000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",21,3,123,6.5,69823199
,1500000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",31,9,102,4.9,779820
,40000000,"[{'id': 18, 'name': 'Drama'}]",42,4,128,6.8,95020213
"{'id': 125570, 'name': '300 Collection', 'poster_path': '/nKQqh6kJvPdpOJD24enD3Bm1Hy5.jpg', 'backdrop_path': '/mLLztGKyxSLoWjgRSpmm9W12VsU.jpg'}",65000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 10752, 'name': 'War'}]",300,12,117,7,422610419
,25000000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",1408,7,104,6.5,94679598
,200000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",2012,10,158,5.6,769653595
,7500000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",(500) Days of Summer,7,95,7.2,60722734
,15000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]",10 Cloverfield Lane,3,103,6.8,108286421
,105000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]","10,000 BC",2,109,5.1,266000000
"{'id': 124916, 'name': '101 Dalmatians (Live-Action) Collection', 'poster_path': '/oSeIai1ioj4dbq7WgbPzpsSCzkS.jpg', 'backdrop_path': '/eTaNHqpi7VldgcrDetfTzk4FeDi.jpg'}",85000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",102 Dalmatians,10,100,5.1,183611771
,8000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",10th & Wolf,2,107,6.3,143451
"{'id': 221622, 'name': '12 Rounds Collection', 'poster_path': '/l1TBw4KOSWAxYM3RwRFFGq8VG69.jpg', 'backdrop_path': '/cPNJRFgk1EtdqUAOSZ5gPigj741.jpg'}",20000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",12 Rounds,3,108,5.7,17280326
,20000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",12 Years a Slave,10,134,7.9,187000000
,18000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",127 Hours,11,94,7,35692920
,37000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",13 Going on 30,4,98,6.3,96455697
,50000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",13 Hours: The Secret Soldiers of Benghazi,1,144,7,69411370
,5000000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",13 Sins,4,93,6.2,13809
,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",15 Minutes,3,120,5.7,56359980
,55000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",16 Blocks,3,105,6.2,65664721
,20000000,"[{'id': 35, 'name': 'Comedy'}]",17 Again,3,102,6.1,136267476
"{'id': 138908, 'name': '2 Days In... Collection', 'poster_path': '/ffwnytEmZsWSZmb8BH7BblRVBfR.jpg', 'backdrop_path': '/gzj0bdcB3zZ6u5JSfFBd2TRCcAz.jpg'}",8000000,"[{'id': 35, 'name': 'Comedy'}]",2 Days in New York,3,91,5.4,1653792
"{'id': 9485, 'name': 'The Fast and the Furious Collection', 'poster_path': '/mCkqJf4ijbNoBWvJ0RTWZJuhJUA.jpg', 'backdrop_path': '/z5A5W3WYJc3UVEWljSGwdjDgQ0j.jpg'}",76000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",2 Fast 2 Furious,6,107,6.2,236350661
,61000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",2 Guns,8,109,6.6,131940411
,200000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]","20,000 Leagues Under the Sea",12,105,6,8000000
,2500000,"[{'id': 99, 'name': 'Documentary'}]",2016: Obama's America,7,87,4.6,33400000
,7000000,"[{'id': 18, 'name': 'Drama'}]",20th Century Women,12,119,7.3,5816211
